Symbol,Current Price,1-Year Return,2-Year Return,3-Year Return,4-Year Return,5-Year Return
bagfilms,4.699999809265137,-19.65812160880132,23.68420705900954,91.8367231751126,42.424238702372904,5.617977768886342
baidfin,4.699999809265137,,,,,
bajaj-auto,4832.10009765625,24.415205946600036,25.773711457407533,66.40175210342791,94.88531794596243,99.38165569841416
bajajcon,220.1999969482422,39.01515494510978,-22.599801873884736,39.49969284218371,-25.667410729462436,-40.92032540881412
bajajelec,1251.699951171875,10.83366345516225,11.57959499818603,202.1605192931503,182.68740788608173,117.00512147633964
bajajfinsv,1527.0,14.751207099077298,15.671303036694606,139.75990245677932,101.66442849151294,123.71553688614156
bajajhcare,374.8500061035156,-7.797314633199794,,,,
bajajhind,16.25,49.082574024815486,-5.797101449275362,168.59503285447323,125.69445042330558,144.36089875126748
bajajhldng,7454.75,52.700246863596114,96.34770506268343,182.49330371846236,116.51295976018588,
bajfinance,7203.4501953125,12.618135113523376,16.54371222839261,119.14045768609145,111.2640227110028,169.92376809157307
balajitele,46.70000076293945,-3.6119710473536593,-29.539763870256873,-40.158295871140545,-10.264902749610116,
balamines,2224.75,-33.101292497944236,-26.780329965859227,285.5127933125035,557.5604296602921,304.19619797043083
balaxi,516.75,35.57654683849816,-18.820201098163,224.6936976548731,684.7380591862604,
balkrishna,25.5,-28.270040654694345,-7.775767262902248,74.65752968311233,-10.526315789473683,
balkrisind,2469.550048828125,9.628666498895507,6.938484198276175,100.94845470598857,252.83365804884318,
ballarpur,257.5757751464844,-34.61537984814162,-45.16128550200993,-51.42856896225291,-48.48484497070312,
balmlawrie,147.0500030517578,33.560404259516666,12.124352078415978,54.58247871398307,61.710101019846974,49.07967127525863
balpharma,95.80000305175781,-0.4157940843798373,-0.45223693333825915,125.43275485469903,90.0070560182479,
balramchin,400.45001220703125,6.64447728549434,17.363868934375155,227.86027378144547,169.9471490186603,484.4156520890986
banarbeads,84.1500015258789,13.716218278214736,11.130714831163004,114.26442326091082,96.24673117358374,
banarisug,2737.25,19.36116864711654,54.9432114598355,165.43382203930733,100.41958101960762,
bancoindia,342.25,84.95001045975337,117.58908031425605,313.9276834729797,286.20514382978985,
bandhanbnk,225.5,-18.665464382326423,-25.827148735700074,-35.938771856589305,-57.67200810587497,-67.4715822548319
bang,43.400001525878906,10.292257201537977,-3.6625920957269713,150.14409551386115,21.739129504311947,
banka,69.1500015258789,-3.7578246424245525,-11.003855544625871,146.93741076453063,76.06426453301093,
bankbaroda,194.75,64.69344608879493,143.89480741582895,294.2307570536762,56.74044265593562,32.25806451612903
