SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
MANALIPETC.NS,Manali Petrochemicals Limited,EQ,6-Dec-06,5,1,INE201A01024,5
MANAPPURAM.NS,Manappuram Finance Limited,EQ,1-Dec-14,2,1,INE522D01027,2
MANGALAM.NS,Mangalam Drugs And Organics Limited,EQ,23-May-05,10,1,INE584F01014,10
MANGCHEFER.NS,Mangalore Chemicals & Fertilizers Limited,EQ,22-Oct-07,10,1,INE558B01017,10
MANGLMCEM.NS,Mangalam Cement Limited,EQ,3-Jan-96,10,1,INE347A01017,10
MANINDS.NS,Man Industries (India) Limited,EQ,24-Jun-05,5,1,INE993A01026,5
MANINFRA.NS,Man Infraconstruction Limited,EQ,11-Mar-10,2,1,INE949H01023,2
MANOMAY.NS,Manomay Tex India Limited,EQ,18-Jan-23,10,1,INE784W01015,10
MANORAMA.NS,Manorama Industries Limited,EQ,1-Jul-22,10,1,INE00VM01010,10
MANORG.NS,Mangalam Organics Limited,BE,2-Nov-21,10,1,INE370D01013,10
MANUGRAPH.NS,Manugraph India Limited,EQ,14-Sep-06,2,1,INE867A01022,2
MANYAVAR.NS,Vedant Fashions Limited,EQ,16-Feb-22,1,1,INE825V01034,1
MAPMYINDIA.NS,C.E. Info Systems Limited,EQ,21-Dec-21,2,1,INE0BV301023,2
MARALOVER.NS,Maral Overseas Limited,EQ,8-Feb-95,10,1,INE882A01013,10
MARATHON.NS,Marathon Nextgen Realty Limited,EQ,29-Sep-16,5,1,INE182D01020,5
MARICO.NS,Marico Limited,EQ,1-May-96,1,1,INE196A01026,1
MARINE.NS,Marine Electricals (India) Limited,EQ,2-Dec-20,2,1,INE01JE01028,2
MARKSANS.NS,Marksans Pharma Limited,EQ,21-Jan-02,1,1,INE750C01026,1
MARSHALL.NS,Marshall Machines Limited,BE,22-Nov-21,10,1,INE00SZ01018,10
MARUTI.NS,Maruti Suzuki India Limited,EQ,9-Jul-03,5,1,INE585B01010,5
MASFIN.NS,MAS Financial Services Limited,EQ,18-Oct-17,10,1,INE348L01012,10
MASKINVEST.NS,Mask Investments Limited,BE,14-Oct-16,10,1,INE885F01015,10
MASTEK.NS,Mastek Limited,EQ,10-May-95,5,1,INE759A01021,5
MATRIMONY.NS,Matrimony.Com Limited,EQ,21-Sep-17,5,1,INE866R01028,5
MAWANASUG.NS,Mawana Sugars Limited,EQ,20-Mar-09,10,1,INE636A01039,10
MAXHEALTH.NS,Max Healthcare Institute Limited,EQ,21-Aug-20,10,1,INE027H01010,10
MAXIND.NS,Max India Limited,EQ,28-Aug-20,10,1,INE0CG601016,10
MAXVIL.NS,Max Ventures and Industries Limited,EQ,22-Jun-16,10,1,INE154U01015,10
MAYURUNIQ.NS,Mayur Uniquoters Ltd,EQ,25-Sep-12,5,1,INE040D01038,5
MAZDA.NS,Mazda Limited,EQ,1-Nov-16,10,1,INE885E01034,10
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,EQ,12-Oct-20,10,1,INE249Z01012,10
MBAPL.NS,Madhya Bharat Agro Products Limited,EQ,22-Aug-19,10,1,INE900L01010,10
MBLINFRA.NS,MBL Infrastructure Limited,EQ,11-Jan-10,10,1,INE912H01013,10
MCDOWELL-N.NS,United Spirits Limited,EQ,27-Sep-01,2,1,INE854D01024,2
MCL.NS,Madhav Copper Limited,BE,19-Aug-20,5,1,INE813V01022,5
MCLEODRUSS.NS,Mcleod Russel India Limited,BE,29-Jul-05,5,1,INE942G01012,5
MCX.NS,Multi Commodity Exchange of India Limited,EQ,9-Mar-12,10,1,INE745G01035,10
MEDANTA.NS,Global Health Limited,EQ,16-Nov-22,2,1,INE474Q01031,2
MEDICAMEQ.NS,Medicamen Biotech Limited,EQ,27-Oct-21,10,1,INE646B01010,10
MEDICO.NS,Medico Remedies Limited,EQ,26-May-22,2,1,INE630Y01024,2
MEDPLUS.NS,Medplus Health Services Limited,EQ,23-Dec-21,2,1,INE804L01022,2
MEGASOFT.NS,Megasoft Limited,EQ,19-Jul-07,10,1,INE933B01012,10
MEGASTAR.NS,Megastar Foods Limited,EQ,16-Feb-22,10,1,INE00EM01016,10
MELSTAR.NS,Melstar Information Technologies Limited,BZ,7-Mar-00,10,1,INE817A01019,10
MENONBE.NS,Menon Bearings Limited,EQ,9-Mar-15,1,1,INE071D01033,1
MEP.NS,MEP Infrastructure Developers Limited,EQ,6-May-15,10,1,INE776I01010,10
METROBRAND.NS,Metro Brands Limited,EQ,22-Dec-21,5,1,INE317I01021,5
METROPOLIS.NS,Metropolis Healthcare Limited,EQ,15-Apr-19,2,1,INE112L01020,2
MFL.NS,Meghmani Finechem Limited,EQ,18-Aug-21,10,1,INE071N01016,10
MFSL.NS,Max Financial Services Limited,EQ,17-May-00,2,1,INE180A01020,2
MGEL.NS,Mangalam Global Enterprise Limited,EQ,23-Dec-20,2,1,INE0APB01024,2
MGL.NS,Mahanagar Gas Limited,EQ,1-Jul-16,10,1,INE002S01010,10
MHLXMIRU.NS,Mahalaxmi Rubtech Limited,EQ,27-Jan-22,10,1,INE112D01035,10
MHRIL.NS,Mahindra Holidays & Resorts India Limited,EQ,16-Jul-09,10,1,INE998I01010,10
MICEL.NS,MIC Electronics Limited,EQ,17-Dec-21,2,1,INE287C01037,2
MIDHANI.NS,Mishra Dhatu Nigam Limited,EQ,4-Apr-18,10,1,INE099Z01011,10
MINDACORP.NS,Minda Corporation Limited,EQ,16-Oct-14,2,1,INE842C01021,2
MINDTECK.NS,Mindteck (India) Limited,EQ,2-Aug-16,10,1,INE110B01017,10
MIRCELECTR.NS,MIRC Electronics Limited,EQ,24-May-04,1,1,INE831A01028,1
MIRZAINT.NS,Mirza International Limited,EQ,28-Apr-99,2,1,INE771A01026,2
MITCON.NS,MITCON Consultancy & Engineering Services Limited,EQ,17-Mar-22,10,1,INE828O01033,10
MITTAL.NS,Mittal Life Style Limited,BE,29-Apr-20,10,1,INE997Y01019,10
MMFL.NS,MM Forgings Limited,EQ,20-Dec-06,10,1,INE227C01017,10
MMP.NS,MMP Industries Limited,EQ,9-Jan-20,10,1,INE511Y01018,10
MMTC.NS,MMTC Limited,EQ,9-Apr-12,1,1,INE123F01029,1
MODIRUBBER.NS,Modi Rubber Limited,BE,7-Feb-96,10,1,INE832A01018,10
MODISONLTD.NS,MODISON LIMITED,EQ,3-May-21,1,1,INE737D01021,1
MOHITIND.NS,Mohit Industries Limited,EQ,14-Mar-13,10,1,INE954E01012,10
MOIL.NS,MOIL Limited,EQ,15-Dec-10,10,1,INE490G01020,10
MOKSH.NS,Moksh Ornaments Limited,EQ,21-May-21,2,1,INE514Y01020,2
MOL.NS,Meghmani Organics Limited,EQ,18-Aug-21,1,1,INE0CT101020,1
MOLDTECH.NS,Mold-Tek Technologies Limited,EQ,7-Jul-16,2,1,INE835B01035,2
MOLDTKPAC.NS,Mold-Tek Packaging Limited,EQ,23-Feb-15,5,1,INE893J01029,5
MONARCH.NS,Monarch Networth Capital Limited,EQ,6-Jan-22,10,1,INE903D01011,10
MONTECARLO.NS,Monte Carlo Fashions Limited,EQ,19-Dec-14,10,1,INE950M01013,10
MORARJEE.NS,Morarjee Textiles Limited,EQ,14-Sep-12,7,1,INE161G01027,7
MOREPENLAB.NS,Morepen Laboratories Limited,EQ,24-Nov-99,2,1,INE083A01026,2
MOTHERSON.NS,Samvardhana Motherson International Limited,EQ,14-Aug-96,1,1,INE775A01035,1
MOTILALOFS.NS,Motilal Oswal Financial Services Limited,EQ,11-Sep-07,1,1,INE338I01027,1
MOTOGENFIN.NS,The Motor & General Finance Limited,BE,8-Feb-95,5,1,INE861B01023,5
MPHASIS.NS,MphasiS Limited,EQ,4-Jun-04,10,1,INE356A01018,10
MPSLTD.NS,MPS Limited,EQ,21-Jan-02,10,1,INE943D01017,10
MRF.NS,MRF Limited,EQ,18-Sep-96,10,1,INE883A01011,10
MRO-TEK.NS,MRO-TEK Realty Limited,EQ,1-Nov-00,5,1,INE398B01018,5
MRPL.NS,Mangalore Refinery and Petrochemicals Limited,EQ,7-Jan-05,10,1,INE103A01014,10
MSPL.NS,MSP Steel & Power Limited,EQ,18-Jul-05,10,1,INE752G01015,10
MSTCLTD.NS,Mstc Limited,EQ,29-Mar-19,10,1,INE255X01014,10
MSUMI.NS,Motherson Sumi Wiring India Limited,EQ,28-Mar-22,1,1,INE0FS801015,1
MTARTECH.NS,Mtar Technologies Limited,EQ,15-Mar-21,10,1,INE864I01014,10
MTEDUCARE.NS,MT Educare Limited,BE,12-Apr-12,10,1,INE472M01018,10
MTNL.NS,Mahanagar Telephone Nigam Limited,EQ,17-Feb-99,10,1,INE153A01019,10
MUKANDLTD.NS,Mukand Limited,EQ,23-Feb-04,10,1,INE304A01026,10
MUKTAARTS.NS,Mukta Arts Limited,EQ,12-Sep-00,5,1,INE374B01019,5
MUNJALAU.NS,Munjal Auto Industries Limited,EQ,19-Jul-06,2,1,INE672B01032,2
MUNJALSHOW.NS,Munjal Showa Limited,EQ,12-May-03,2,1,INE577A01027,2
MURUDCERA.NS,Murudeshwar Ceramics Limited,EQ,28-May-04,10,1,INE692B01014,10
MUTHOOTCAP.NS,Muthoot Capital Services Limited,EQ,24-Aug-15,10,1,INE296G01013,10
MUTHOOTFIN.NS,Muthoot Finance Limited,EQ,6-May-11,10,1,INE414G01012,10
NACLIND.NS,NACL Industries Limited,EQ,7-Apr-17,1,1,INE295D01020,1
NAGAFERT.NS,Nagarjuna Fertilizers and Chemicals Limited,EQ,15-Jun-16,1,1,INE454M01024,1
