,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SYMBOL1
1411,SAHYADRI.NS,Sahyadri Industries Limited,EQ,6-Apr-23,10.0,1,INE280H01015,10,SAHYADRI
1412,SAIL.NS,Steel Authority of India Limited,EQ,6-Jul-95,10.0,1,INE114A01011,10,SAIL
1413,SAKAR.NS,Sakar Healthcare Limited,EQ,11-Apr-19,10.0,1,INE732S01012,10,SAKAR
1414,SAKHTISUG.NS,Sakthi Sugars Limited,EQ,6-Sep-95,10.0,1,INE623A01011,10,SAKHTISUG
1415,SAKSOFT.NS,Saksoft Limited,EQ,9-May-05,1.0,1,INE667G01023,1,SAKSOFT
1416,SAKUMA.NS,Sakuma Exports Limited,EQ,8-Mar-06,1.0,1,INE190H01024,1,SAKUMA
1417,SALASAR.NS,Salasar Techno Engineering Limited,EQ,25-Jul-17,1.0,1,INE170V01027,1,SALASAR
1418,SALONA.NS,Salona Cotspin Limited,EQ,16-Jun-16,10.0,1,INE498E01010,10,SALONA
1419,SALSTEEL.NS,S.A.L. Steel Limited,EQ,24-Nov-04,10.0,1,INE658G01014,10,SALSTEEL
1420,SALZERELEC.NS,Salzer Electronics Limited,EQ,2-Dec-15,10.0,1,INE457F01013,10,SALZERELEC
1421,SAMBHAAV.NS,Sambhaav Media Limited,EQ,5-Jun-96,1.0,1,INE699B01027,1,SAMBHAAV
1422,SANCO.NS,Sanco Industries Limited,BZ,22-Nov-16,10.0,1,INE782L01012,10,SANCO
1423,SANDESH.NS,The Sandesh Limited,EQ,26-Nov-02,10.0,1,INE583B01015,10,SANDESH
1424,SANDHAR.NS,Sandhar Technologies Limited,EQ,2-Apr-18,10.0,1,INE278H01035,10,SANDHAR
1425,SANGAMIND.NS,Sangam (India) Limited,EQ,17-Jul-96,10.0,1,INE495C01010,10,SANGAMIND
1426,SANGHIIND.NS,Sanghi Industries Limited,EQ,10-May-95,10.0,1,INE999B01013,10,SANGHIIND
1427,SANGHVIMOV.NS,Sanghvi Movers Limited,EQ,24-Jan-07,2.0,1,INE989A01024,2,SANGHVIMOV
1428,SANGINITA.NS,Sanginita Chemicals Limited,EQ,15-Jul-19,10.0,1,INE753W01010,10,SANGINITA
1429,SANOFI.NS,Sanofi India Limited,EQ,19-May-03,10.0,1,INE058A01010,10,SANOFI
1430,SANSERA.NS,Sansera Engineering Limited,EQ,24-Sep-21,2.0,1,INE953O01021,2,SANSERA
1431,SAPPHIRE.NS,Sapphire Foods India Limited,EQ,18-Nov-21,10.0,1,INE806T01012,10,SAPPHIRE
1432,SARDAEN.NS,Sarda Energy & Minerals Limited,EQ,3-Dec-09,10.0,1,INE385C01013,10,SARDAEN
1433,SAREGAMA.NS,Saregama India Limited,EQ,30-Jul-97,1.0,1,INE979A01025,1,SAREGAMA
1434,SARLAPOLY.NS,Sarla Performance Fibers Limited,EQ,19-Jan-07,1.0,1,INE453D01025,1,SARLAPOLY
1435,SARVESHWAR.NS,Sarveshwar Foods Limited,EQ,8-Dec-22,10.0,1,INE324X01018,10,SARVESHWAR
1436,SASKEN.NS,Sasken Technologies Limited,EQ,9-Sep-05,10.0,1,INE231F01020,10,SASKEN
1437,SASTASUNDR.NS,Sastasundar Ventures Limited,EQ,5-Oct-10,10.0,1,INE019J01013,10,SASTASUNDR
1438,SATIA.NS,Satia Industries Limited,EQ,17-Jul-19,1.0,1,INE170E01023,1,SATIA
1439,SATIN.NS,Satin Creditcare Network Limited,EQ,26-Aug-15,10.0,1,INE836B01017,10,SATIN
1440,SATINDLTD.NS,Sat Industries Limited,EQ,21-Nov-22,2.0,1,INE065D01027,2,SATINDLTD
1441,SBC.NS,SBC Exports Limited,EQ,23-Nov-21,1.0,1,INE04AK01028,1,SBC
1442,SBCL.NS,Shivalik Bimetal Controls Limited,EQ,24-Jun-21,2.0,1,INE386D01027,2,SBCL
1443,SBGLP.NS,Suratwwala Business Group Limited,EQ,10-Feb-23,10.0,1,INE05ST01010,10,SBGLP
1444,SBICARD.NS,SBI Cards and Payment Services Limited,EQ,16-Mar-20,10.0,1,INE018E01016,10,SBICARD
