Ticker,Name,Exchange,Category
AJIL.BO,ATLAS JEWELLERY INDIA LIMITED,BSE,
JKTYRE.BO,JK TYRE & INDUSTRIES LTD.,BSE,
JAGSNPHARM.BO,JAGSONPAL PHARMACEUTICALS LTD.,BSE,
JMDTELEFILM.BO,JMD Ventures Limited,BSE,
JAYBARMARU.BO,JAY BHARAT MARUTI LTD.,BSE,
JAGDAMD.BO,JAGDAMD.BO,BSE,
JOYREALTY.BO,Joy Realty Ltd,BSE,
JMPCAST.BO,JMP CASTINGS LTD.,BSE,
JAYAGROGN.NS,Jayant Agro-Organics Limited,NSI,Specialty Chemicals
PCJEWELLER.BO,PC JEWELLER LTD.,BSE,
JAIBALAJI.NS,Jai Balaji Industries Limited,NSI,Steel & Iron
JINDWORLD.NS,Jindal Worldwide Limited,NSI,Textile Industrial
JKPAPER.BO,JK PAPER LTD.,BSE,
JIKIND-BE.NS,JIK INDUSTRIES INR10,NSI,
JMDEPACKR.BO,JMDE PACKAGING & REALTIES LTD.,BSE,
JAIMATAG.BO,Jai Mata Glass Ltd.,BSE,
JMTAUTOLTD-EQ.NS,JMT AUTO LIMITED,NSI,
JSWHL.NS,JSW Holdings Limited,NSI,Asset Management
JINDALPHOT.BO,JINDAL PHOTO LTD.,BSE,
JKLAKSHMI.BO,JK Lakshmi Cement Limited,BSE,
JTAPARIA.BO,J. TAPARIA PROJECTS LTD,BSE,
JOLLYRID.BO,JOLLY RIDES LTD.,BSE,
JIYAECO.BO,Jiya Eco-Products Limited,BSE,
JISLJALEQS6.BO,JISLJALEQS6.BO,BSE,
JAIHINDPRO-EQ.NS,JAIHIND PROJECTS LIMITED,NSI,
SHJAGDM.BO,Shree Jagdambe Paper Mills Ltd.,BSE,
KMSUGAR.BO,KM Sugar Mills Ltd.,BSE,
SKPMIL.BO,Shree Krishna Paper Mills & Industries Ltd.,BSE,
KPRMILL.NS,K.P.R. Mill Limited,NSI,Textile - Apparel Clothing
KPIT.NS,KPIT Technologies Limited,NSI,Information Technology Services
KOTAKBANK.NS,Kotak Mahindra Bank Limited,NSI,Money Center Banks
KONARKSY.BO,"Konark Synthetic, Ltd.",BSE,
SONASTEER.BO,SONA KOYO STEERING SYSTEMS LTD,BSE,
SHKARTP.BO,Shree Karthik Papers Ltd.,BSE,
KUWERIN.BO,Kuwer Industries Limited,BSE,
KUNSTOFF.BO,Kunststoffe Industries,BSE,
KTKBANK.BO,Karnataka Bank Ltd.,BSE,
KTIL.NS,Kesar Terminals & Infrastructure Limited,NSI,Business Services
KSK.NS,KSK Energy Ventures Limited,NSI,Electric Utilities
KSK.BO,KSK Energy Ventures Limited,BSE,
KSERASERA.NS,KSS Limited,NSI,Entertainment - Diversified
KSCL.NS,Kaveri Seed Company Limited,NSI,Farm Products
KSCL.BO,Kaveri Seed Company Limited,BSE,
KREBSBIO.BO,Krebs Biochemicals & Industries Ltd,BSE,
KOTHARIPRO.NS,Kothari Products Limited,NSI,Industrial Metals & Minerals
KOTHARIPRO.BO,Kothari Products Ltd,BSE,
KOTARISUG.NS,Kothari Sugars and Chemicals Limited,NSI,Confectioners
KOTAKBANK.BO,Kotak Mahindra Bank Limited,BSE,
KOPRAN.NS,Kopran Limited,NSI,Drug Manufacturers - Major
KOPRAN.BO,Kopran Limited,BSE,
KOFFBREAK.BO,Koffee Break Pictures Limited,BSE,
KOATOOLIN.BO,KOA Tools India Limited,BSE,
