TICKER,NAME,SERIES,SYMBOL,SLUG
BAJAJ-AUTO.NS,Bajaj Auto Limited,EQ,BAJAJ-AUTO,bajaj-auto
BAJAJCON.NS,Bajaj Consumer Care Limited,EQ,BAJAJCON,bajajcon
BAJAJELEC.NS,Bajaj Electricals Limited,EQ,BAJAJELEC,bajajelec
BAJAJFINSV.NS,Bajaj Finserv Limited,EQ,BAJAJFINSV,bajajfinsv
BAJAJHCARE.NS,Bajaj Healthcare Limited,EQ,BAJAJHCARE,bajajhcare
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,EQ,BAJAJHIND,bajajhind
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,EQ,BAJAJHLDNG,bajajhldng
BAJFINANCE.NS,Bajaj Finance Limited,EQ,BAJFINANCE,bajfinance
BALAJITELE.NS,Balaji Telefilms Limited,EQ,BALAJITELE,balajitele
BALAMINES.NS,Balaji Amines Limited,EQ,BALAMINES,balamines
BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,EQ,BALAXI,balaxi
BALKRISHNA.NS,Balkrishna Paper Mills Limited,EQ,BALKRISHNA,balkrishna
BALKRISIND.NS,Balkrishna Industries Limited,EQ,BALKRISIND,balkrisind
BALLARPUR.NS,Ballarpur Industries Limited,BZ,BALLARPUR,ballarpur
BALMLAWRIE.NS,Balmer Lawrie & Company Limited,EQ,BALMLAWRIE,balmlawrie
BALPHARMA.NS,Bal Pharma Limited,EQ,BALPHARMA,balpharma
BALRAMCHIN.NS,Balrampur Chini Mills Limited,EQ,BALRAMCHIN,balramchin
BANARBEADS.NS,Banaras Beads Limited,EQ,BANARBEADS,banarbeads
BANARISUG.NS,Bannari Amman Sugars Limited,EQ,BANARISUG,banarisug
BANCOINDIA.NS,Banco Products (I) Limited,EQ,BANCOINDIA,bancoindia
BANDHANBNK.NS,Bandhan Bank Limited,EQ,BANDHANBNK,bandhanbnk
BANG.NS,Bang Overseas Limited,EQ,BANG,bang
BANKA.NS,Banka BioLoo Limited,EQ,BANKA,banka
BANKBARODA.NS,Bank of Baroda,EQ,BANKBARODA,bankbaroda
BANKINDIA.NS,Bank of India,EQ,BANKINDIA,bankindia
